URL,Title,Address
https://newyork.craigslist.org/mnh/egr/d/new-york-hvac-design-engineer-with-5/7061199900.html,HVAC Design Engineer with 5 Years Design Experience in US,Midtown
https://newyork.craigslist.org/mnh/egr/d/new-york-senior-project-manager/7061182401.html,Senior Project Manager,Upper East Side
https://newyork.craigslist.org/mnh/egr/d/new-york-construction-pms-supers/7061126782.html,"Construction PM's, Supers, & Estimators needed....NYC",New York
https://newyork.craigslist.org/mnh/egr/d/new-york-architect-administrator/7061101880.html,Architect Administrator,Midtown
https://newyork.craigslist.org/mnh/egr/d/cad-drafter-architectural-engineering/7060999419.html,Cad Drafter - Architectural/Engineering background,TriBeCa
https://newyork.craigslist.org/que/egr/d/estimator/7060542538.html,Estimator,Long Island City
https://newyork.craigslist.org/que/egr/d/draftsman-assistant-project-manager/7060540255.html,"Draftsman, Assistant Project Manager",Long Island City
https://newyork.craigslist.org/que/egr/d/project-manager/7060539697.html,Project Manager,Long Island City
https://newyork.craigslist.org/mnh/egr/d/new-york-project-architect/7060234870.html,Project Architect,Gramercy
https://newyork.craigslist.org/mnh/egr/d/new-york-entry-level-junior-estimator/7060229417.html,Entry-Level Junior Estimator,Upper East Side
https://newyork.craigslist.org/mnh/egr/d/new-york-concrete-safety-manager/7059780845.html,Concrete Safety Manager,Manhattan
https://newyork.craigslist.org/mnh/egr/d/new-york-assistant-estimator/7059770895.html,Assistant Estimator,Manhattan
https://newyork.craigslist.org/mnh/egr/d/new-york-surveyor-layout/7059769762.html,Surveyor layout,Manhattan
https://newyork.craigslist.org/mnh/egr/d/new-york-revit-operator-part-or-full/7059720832.html,Revit Operator - Part or Full Time,SoHo
https://newyork.craigslist.org/que/egr/d/floral-park-project-architect/7059709686.html,Project Architect,Queens
https://newyork.craigslist.org/brx/egr/d/bronx-project-manager-drafter/7059667375.html,Project Manager/ Drafter,
https://newyork.craigslist.org/stn/egr/d/staten-island-electrical-estimator/7059611716.html,Electrical Estimator,NYC
